100000	COPY	START	100000	 
100000	FIRST	STL	RETADR	 	14100063
100006	CLOOP	JSUB	RDREC	 	48103069
10000c	 	LDA	LENGTH	 	00100066
100012	 	COMP	ZERO	 	2810005D
100018	 	JEQ	ENDFIL	 	3010002A
10001e	 	JSUB	WRREC	 	481030B8
100024	 	J	CLOOP	 	3C100006
10002a	ENDFIL	LDA	EOF	 	00100054
100030	 	STA	BUFFER	 	0C100069
100036	 	LDA	THREE	 	00100057
10003c	 	STA	LENGTH	 	0C100066
100042	 	JSUB	WRREC	 	481030B8
100048	 	LDL	RETADR	 	08100063
10004e	 	RSUB	 	 	4C0000
100054	EOF	BYTE	C'EOF'	 	454F46
100057	THREE	WORD	3	 	000003
10005d	ZERO	WORD	0	 	000000
100063	RETADR	RESW	1	 	
100066	LENGTH	RESW	1	 	
100069	BUFFER	RESW	4096	 	
103069	RDREC	LDX	ZERO	 	0410005D
10306f	 	LDA	ZERO	 	0010005D
103075	RLOOP	TD	INPUT	 	E01030B1
10307b	 	JEQ	RLOOP	 	30103075
103081	 	RD	INPUT	 	D81030B1
103087	 	COMP	ZERO	 	2810005D
10308d	 	JEQ	EXIT	 	301030A5
103093	 	STCH	BUFFER,X	 	54108069
103099	 	TIX	MAXLEN	 	2C1030B2
10309f	 	JLT	RLOOP	 	38103075
1030a5	EXIT	STX	LENGTH	 	10100066
1030ab	 	RSUB	 	 	4C0000
1030b1	INPUT	BYTE	X'F1'	 	F1
1030b2	MAXLEN	WORD	4096	 	001000
1030b8	WRREC	LDX	ZERO	 	0410005D
1030be	WLOOP	TD	OUTPUT	 	E01030E8
1030c4	 	JEQ	WLOOP	 	301030BE
1030ca	 	LDCH	BUFFER,X	 	50108069
1030d0	 	WD	OUTPUT	 	DC1030E8
1030d6	 	TIX	LENGTH	 	2C100066
1030dc	 	JLT	WLOOP	 	381030BE
1030e2	 	RSUB	 	 	4C0000
1030e8	OUTPUT	BYTE	X'05'	 	05
1030e9	 	END	FIRST	 
